1,2,Organism
FBgn0039086,ENSG00000167165,dmelanogaster
FBgn0039087,ENSG00000167165,dmelanogaster
FBgn0039085,ENSG00000167165,dmelanogaster
FBgn0040252,ENSG00000167165,dmelanogaster
FBgn0040250,ENSG00000167165,dmelanogaster
FBgn0040259,ENSG00000167165,dmelanogaster
FBgn0040257,ENSG00000167165,dmelanogaster
FBgn0040251,ENSG00000167165,dmelanogaster
FBgn0036842,ENSG00000167165,dmelanogaster
FBgn0040262,ENSG00000167165,dmelanogaster
FBgn0026754,ENSG00000167165,dmelanogaster
FBgn0040261,ENSG00000167165,dmelanogaster
FBgn0038082,ENSG00000167165,dmelanogaster
FBgn0038083,ENSG00000167165,dmelanogaster
FBgn0026756,ENSG00000167165,dmelanogaster
FBgn0026755,ENSG00000167165,dmelanogaster
FBgn0040260,ENSG00000167165,dmelanogaster
FBgn0031887,ENSG00000167165,dmelanogaster
FBgn0042179,ENSG00000167165,dmelanogaster
FBgn0038886,ENSG00000167165,dmelanogaster
FBgn0034605,ENSG00000167165,dmelanogaster
FBgn0027073,ENSG00000167165,dmelanogaster
FBgn0030796,ENSG00000167741,dmelanogaster
FBgn0030361,ENSG00000167741,dmelanogaster
FBgn0025837,ENSG00000167741,dmelanogaster
FBgn0030932,ENSG00000167741,dmelanogaster
FBgn0032713,ENSG00000168671,dmelanogaster
FBgn0027070,ENSG00000168671,dmelanogaster
FBgn0027074,ENSG00000168671,dmelanogaster
FBgn0015663,ENSG00000168671,dmelanogaster
FBgn0040255,ENSG00000168671,dmelanogaster
FBgn0040253,ENSG00000168671,dmelanogaster
FBgn0051002,ENSG00000168671,dmelanogaster
FBgn0026314,ENSG00000168671,dmelanogaster
FBgn0026315,ENSG00000168671,dmelanogaster
FBgn0039086,ENSG00000168671,dmelanogaster
FBgn0039087,ENSG00000168671,dmelanogaster
FBgn0039085,ENSG00000168671,dmelanogaster
FBgn0040252,ENSG00000168671,dmelanogaster
FBgn0040250,ENSG00000168671,dmelanogaster
FBgn0040259,ENSG00000168671,dmelanogaster
FBgn0040257,ENSG00000168671,dmelanogaster
FBgn0040251,ENSG00000168671,dmelanogaster
FBgn0036842,ENSG00000168671,dmelanogaster
FBgn0040262,ENSG00000168671,dmelanogaster
FBgn0026754,ENSG00000168671,dmelanogaster
FBgn0040261,ENSG00000168671,dmelanogaster
FBgn0038082,ENSG00000168671,dmelanogaster
FBgn0038083,ENSG00000168671,dmelanogaster
FBgn0026756,ENSG00000168671,dmelanogaster
FBgn0026755,ENSG00000168671,dmelanogaster
FBgn0040260,ENSG00000168671,dmelanogaster
FBgn0031887,ENSG00000168671,dmelanogaster
FBgn0042179,ENSG00000168671,dmelanogaster
FBgn0038886,ENSG00000168671,dmelanogaster
FBgn0034605,ENSG00000168671,dmelanogaster
FBgn0027073,ENSG00000168671,dmelanogaster
FBgn0005278,ENSG00000168906,dmelanogaster
FBgn0035978,ENSG00000169764,dmelanogaster
FBgn0086674,ENSG00000169902,dmelanogaster
FBgn0032713,ENSG00000171234,dmelanogaster
FBgn0027070,ENSG00000171234,dmelanogaster
FBgn0027074,ENSG00000171234,dmelanogaster
FBgn0015663,ENSG00000171234,dmelanogaster
FBgn0040255,ENSG00000171234,dmelanogaster
FBgn0040253,ENSG00000171234,dmelanogaster
FBgn0051002,ENSG00000171234,dmelanogaster
FBgn0026314,ENSG00000171234,dmelanogaster
FBgn0026315,ENSG00000171234,dmelanogaster
FBgn0039086,ENSG00000171234,dmelanogaster
FBgn0039087,ENSG00000171234,dmelanogaster
FBgn0039085,ENSG00000171234,dmelanogaster
FBgn0040252,ENSG00000171234,dmelanogaster
FBgn0040250,ENSG00000171234,dmelanogaster
FBgn0040259,ENSG00000171234,dmelanogaster
FBgn0040257,ENSG00000171234,dmelanogaster
FBgn0040251,ENSG00000171234,dmelanogaster
FBgn0036842,ENSG00000171234,dmelanogaster
FBgn0040262,ENSG00000171234,dmelanogaster
FBgn0026754,ENSG00000171234,dmelanogaster
FBgn0040261,ENSG00000171234,dmelanogaster
FBgn0038082,ENSG00000171234,dmelanogaster
FBgn0038083,ENSG00000171234,dmelanogaster
FBgn0026756,ENSG00000171234,dmelanogaster
FBgn0026755,ENSG00000171234,dmelanogaster
FBgn0040260,ENSG00000171234,dmelanogaster
FBgn0031887,ENSG00000171234,dmelanogaster
FBgn0042179,ENSG00000171234,dmelanogaster
FBgn0038886,ENSG00000171234,dmelanogaster
FBgn0034605,ENSG00000171234,dmelanogaster
FBgn0027073,ENSG00000171234,dmelanogaster
FBgn0037061,ENSG00000173113,dmelanogaster
FBgn0265052,ENSG00000173597,dmelanogaster
FBgn0034887,ENSG00000173597,dmelanogaster
FBgn0033887,ENSG00000173597,dmelanogaster
FBgn0032713,ENSG00000173610,dmelanogaster
FBgn0027070,ENSG00000173610,dmelanogaster
FBgn0027074,ENSG00000173610,dmelanogaster
FBgn0015663,ENSG00000173610,dmelanogaster
FBgn0040255,ENSG00000173610,dmelanogaster
FBgn0040253,ENSG00000173610,dmelanogaster
FBgn0051002,ENSG00000173610,dmelanogaster
FBgn0026314,ENSG00000173610,dmelanogaster
FBgn0026315,ENSG00000173610,dmelanogaster
FBgn0039086,ENSG00000173610,dmelanogaster
FBgn0039087,ENSG00000173610,dmelanogaster
FBgn0039085,ENSG00000173610,dmelanogaster
FBgn0040252,ENSG00000173610,dmelanogaster
FBgn0040250,ENSG00000173610,dmelanogaster
FBgn0040259,ENSG00000173610,dmelanogaster
FBgn0040257,ENSG00000173610,dmelanogaster
FBgn0040251,ENSG00000173610,dmelanogaster
FBgn0036842,ENSG00000173610,dmelanogaster
FBgn0040262,ENSG00000173610,dmelanogaster
FBgn0026754,ENSG00000173610,dmelanogaster
FBgn0040261,ENSG00000173610,dmelanogaster
FBgn0038082,ENSG00000173610,dmelanogaster
FBgn0038083,ENSG00000173610,dmelanogaster
FBgn0026756,ENSG00000173610,dmelanogaster
FBgn0026755,ENSG00000173610,dmelanogaster
FBgn0040260,ENSG00000173610,dmelanogaster
FBgn0031887,ENSG00000173610,dmelanogaster
FBgn0042179,ENSG00000173610,dmelanogaster
FBgn0038886,ENSG00000173610,dmelanogaster
FBgn0034605,ENSG00000173610,dmelanogaster
FBgn0027073,ENSG00000173610,dmelanogaster
FBgn0034733,ENSG00000178814,dmelanogaster
FBgn0265052,ENSG00000196502,dmelanogaster
FBgn0034887,ENSG00000196502,dmelanogaster
FBgn0033887,ENSG00000196502,dmelanogaster
FBgn0032713,ENSG00000196620,dmelanogaster
FBgn0027070,ENSG00000196620,dmelanogaster
FBgn0027074,ENSG00000196620,dmelanogaster
FBgn0015663,ENSG00000196620,dmelanogaster
FBgn0040255,ENSG00000196620,dmelanogaster
FBgn0040253,ENSG00000196620,dmelanogaster
FBgn0051002,ENSG00000196620,dmelanogaster
FBgn0026314,ENSG00000196620,dmelanogaster
FBgn0026315,ENSG00000196620,dmelanogaster
FBgn0039086,ENSG00000196620,dmelanogaster
FBgn0039087,ENSG00000196620,dmelanogaster
FBgn0039085,ENSG00000196620,dmelanogaster
FBgn0040252,ENSG00000196620,dmelanogaster
FBgn0040250,ENSG00000196620,dmelanogaster
FBgn0040259,ENSG00000196620,dmelanogaster
FBgn0040257,ENSG00000196620,dmelanogaster
FBgn0040251,ENSG00000196620,dmelanogaster
FBgn0036842,ENSG00000196620,dmelanogaster
FBgn0040262,ENSG00000196620,dmelanogaster
FBgn0026754,ENSG00000196620,dmelanogaster
FBgn0040261,ENSG00000196620,dmelanogaster
FBgn0038082,ENSG00000196620,dmelanogaster
FBgn0038083,ENSG00000196620,dmelanogaster
FBgn0026756,ENSG00000196620,dmelanogaster
FBgn0026755,ENSG00000196620,dmelanogaster
FBgn0040260,ENSG00000196620,dmelanogaster
FBgn0031887,ENSG00000196620,dmelanogaster
FBgn0042179,ENSG00000196620,dmelanogaster
FBgn0038886,ENSG00000196620,dmelanogaster
FBgn0034605,ENSG00000196620,dmelanogaster
FBgn0027073,ENSG00000196620,dmelanogaster
FBgn0265052,ENSG00000197165,dmelanogaster
FBgn0034887,ENSG00000197165,dmelanogaster
FBgn0033887,ENSG00000197165,dmelanogaster
FBgn0032713,ENSG00000197888,dmelanogaster
FBgn0027070,ENSG00000197888,dmelanogaster
FBgn0027074,ENSG00000197888,dmelanogaster
FBgn0015663,ENSG00000197888,dmelanogaster
FBgn0040255,ENSG00000197888,dmelanogaster
FBgn0040253,ENSG00000197888,dmelanogaster
FBgn0051002,ENSG00000197888,dmelanogaster
FBgn0026314,ENSG00000197888,dmelanogaster
FBgn0026315,ENSG00000197888,dmelanogaster
FBgn0039086,ENSG00000197888,dmelanogaster
FBgn0039087,ENSG00000197888,dmelanogaster
FBgn0039085,ENSG00000197888,dmelanogaster
FBgn0040252,ENSG00000197888,dmelanogaster
FBgn0040250,ENSG00000197888,dmelanogaster
FBgn0040259,ENSG00000197888,dmelanogaster
FBgn0040257,ENSG00000197888,dmelanogaster
FBgn0040251,ENSG00000197888,dmelanogaster
FBgn0036842,ENSG00000197888,dmelanogaster
FBgn0040262,ENSG00000197888,dmelanogaster
FBgn0026754,ENSG00000197888,dmelanogaster
FBgn0040261,ENSG00000197888,dmelanogaster
FBgn0038082,ENSG00000197888,dmelanogaster
FBgn0038083,ENSG00000197888,dmelanogaster
FBgn0026756,ENSG00000197888,dmelanogaster
FBgn0026755,ENSG00000197888,dmelanogaster
FBgn0040260,ENSG00000197888,dmelanogaster
FBgn0031887,ENSG00000197888,dmelanogaster
FBgn0042179,ENSG00000197888,dmelanogaster
FBgn0038886,ENSG00000197888,dmelanogaster
FBgn0034605,ENSG00000197888,dmelanogaster
FBgn0027073,ENSG00000197888,dmelanogaster
FBgn0265052,ENSG00000198075,dmelanogaster
FBgn0034887,ENSG00000198075,dmelanogaster
FBgn0033887,ENSG00000198075,dmelanogaster
FBgn0265052,ENSG00000198203,dmelanogaster
FBgn0034887,ENSG00000198203,dmelanogaster
FBgn0033887,ENSG00000198203,dmelanogaster
FBgn0020389,ENSG00000198682,dmelanogaster
FBgn0265052,ENSG00000213648,dmelanogaster
FBgn0034887,ENSG00000213648,dmelanogaster
FBgn0033887,ENSG00000213648,dmelanogaster
FBgn0032713,ENSG00000213759,dmelanogaster
FBgn0027070,ENSG00000213759,dmelanogaster
FBgn0027074,ENSG00000213759,dmelanogaster
FBgn0015663,ENSG00000213759,dmelanogaster
FBgn0040255,ENSG00000213759,dmelanogaster
FBgn0040253,ENSG00000213759,dmelanogaster
FBgn0051002,ENSG00000213759,dmelanogaster
FBgn0026314,ENSG00000213759,dmelanogaster
FBgn0026315,ENSG00000213759,dmelanogaster
FBgn0039086,ENSG00000213759,dmelanogaster
FBgn0039087,ENSG00000213759,dmelanogaster
FBgn0039085,ENSG00000213759,dmelanogaster
FBgn0040252,ENSG00000213759,dmelanogaster
FBgn0040250,ENSG00000213759,dmelanogaster
FBgn0040259,ENSG00000213759,dmelanogaster
FBgn0040257,ENSG00000213759,dmelanogaster
FBgn0040251,ENSG00000213759,dmelanogaster
FBgn0036842,ENSG00000213759,dmelanogaster
FBgn0040262,ENSG00000213759,dmelanogaster
FBgn0026754,ENSG00000213759,dmelanogaster
FBgn0040261,ENSG00000213759,dmelanogaster
FBgn0038082,ENSG00000213759,dmelanogaster
FBgn0038083,ENSG00000213759,dmelanogaster
FBgn0026756,ENSG00000213759,dmelanogaster
FBgn0026755,ENSG00000213759,dmelanogaster
FBgn0040260,ENSG00000213759,dmelanogaster
FBgn0031887,ENSG00000213759,dmelanogaster
FBgn0042179,ENSG00000213759,dmelanogaster
FBgn0038886,ENSG00000213759,dmelanogaster
FBgn0034605,ENSG00000213759,dmelanogaster
FBgn0027073,ENSG00000213759,dmelanogaster
FBgn0032713,ENSG00000241119,dmelanogaster
FBgn0027070,ENSG00000241119,dmelanogaster
FBgn0027074,ENSG00000241119,dmelanogaster
FBgn0015663,ENSG00000241119,dmelanogaster
FBgn0040255,ENSG00000241119,dmelanogaster
FBgn0040253,ENSG00000241119,dmelanogaster
FBgn0051002,ENSG00000241119,dmelanogaster
