Date: 2020.10.14
Anatomy ID	Anatomy Name	Start Stage ID	End Stage ID	
ZFA:0009061	adrenergic neuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009216	adrenocorticotropic hormone secreting cell	ZDB-STAGE-010723-8	ZDB-STAGE-010723-39
ZFA:0000716	afferent branchial artery	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005012	afferent filamental artery	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005307	afferent glomerular arteriole	ZDB-STAGE-010723-47	ZDB-STAGE-010723-39
ZFA:0005015	afferent lamellar arteriole	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009238	afferent neuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001357	alar plate midbrain region	ZDB-STAGE-020626-1	ZDB-STAGE-010723-10
ZFA:0009201	alkali secreting cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009335	alpha-beta T cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009255	amacrine cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009028	ameloblast	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009085	amelocyte	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005144	ampullary nerve	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000466	anal depressor	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000617	anal erector	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001162	anal fin	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005398	anal fin actinotrichium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000646	anal fin distal radial	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001421	anal fin lepidotrichium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005399	anal fin lepidotrichium 1	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005400	anal fin lepidotrichium 2	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005401	anal fin lepidotrichium 3	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005402	anal fin lepidotrichium 4	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005403	anal fin lepidotrichium 5	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005404	anal fin lepidotrichium 6	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005405	anal fin lepidotrichium 7	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001154	anal fin musculature	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000268	anal fin proximal radial	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001420	anal fin pterygiophore	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001646	anal fin radial	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000167	anal fin skeleton	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000313	anal inclinator	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005897	anal protractor	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005896	anal retractor	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001478	anatomical cluster	ZDB-STAGE-010723-27	ZDB-STAGE-010723-39
ZFA:0007114	anatomical conduit	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001512	anatomical group	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001689	anatomical line	ZDB-STAGE-010723-4	ZDB-STAGE-010723-39
ZFA:0001643	anatomical space	ZDB-STAGE-010723-4	ZDB-STAGE-010723-39
ZFA:0000037	anatomical structure	ZDB-STAGE-010723-4	ZDB-STAGE-010723-39
ZFA:0005594	anatomical surface	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001439	anatomical system	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009271	androgen secreting cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009258	angioblastic mesenchymal cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005604	angiogenic sprout	ZDB-STAGE-010723-32	ZDB-STAGE-050211-1
ZFA:0001645	angular bone	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000467	anguloarticular	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005618	anguloarticular-retroarticular joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001676	annular ligament	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000618	ansulate commissure	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000004	anterior axial hypoblast	ZDB-STAGE-010723-18	ZDB-STAGE-010723-12
ZFA:0005886	anterior basicapsular commissure	ZDB-STAGE-010723-26	ZDB-STAGE-050211-1
ZFA:0000423	anterior cardinal vein	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0005342	anterior catecholaminergic tract	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001067	anterior cerebral vein	ZDB-STAGE-010723-10	ZDB-STAGE-010723-26
ZFA:0005876	anterior chamber eye	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001277	anterior chamber swim bladder	ZDB-STAGE-010723-48	ZDB-STAGE-010723-39
ZFA:0001108	anterior commissure	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0000619	anterior crista	ZDB-STAGE-010723-8	ZDB-STAGE-010723-39
ZFA:0000468	anterior crista primordium	ZDB-STAGE-010723-9	ZDB-STAGE-010723-8
ZFA:0001578	anterior dorsomedial process of autopalatine	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001470	anterior lateral line	ZDB-STAGE-010723-32	ZDB-STAGE-010723-39
ZFA:0001391	anterior lateral line ganglion	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0000425	anterior lateral line nerve	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001472	anterior lateral line neuromast	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0001316	anterior lateral line placode	ZDB-STAGE-020626-1	ZDB-STAGE-010723-13
ZFA:0005117	anterior lateral line primordium	ZDB-STAGE-010723-32	ZDB-STAGE-050211-1
ZFA:0001468	anterior lateral line system	ZDB-STAGE-020626-1	ZDB-STAGE-010723-39
ZFA:0005039	anterior lateral mesoderm	ZDB-STAGE-010723-23	ZDB-STAGE-050211-1
ZFA:0005041	anterior lateral plate mesoderm	ZDB-STAGE-010723-23	ZDB-STAGE-010723-10
ZFA:0005657	anterior lateral process of autopalatine	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000168	anterior macula	ZDB-STAGE-010723-10	ZDB-STAGE-050211-1
ZFA:0005052	anterior mesencephalic central artery	ZDB-STAGE-010723-9	ZDB-STAGE-050211-1
ZFA:0005080	anterior mesenteric artery	ZDB-STAGE-010723-26	ZDB-STAGE-050211-1
ZFA:0005923	anterior migratory muscle precursor stream	ZDB-STAGE-010723-10	ZDB-STAGE-050211-1
ZFA:0005406	anterior myodome	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001427	anterior naris	ZDB-STAGE-010723-51	ZDB-STAGE-010723-39
ZFA:0005407	anterior nasal barbel	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0007024	anterior neural keel	ZDB-STAGE-010723-12	ZDB-STAGE-010723-23
ZFA:0007016	anterior neural plate	ZDB-STAGE-010723-18	ZDB-STAGE-010723-12
ZFA:0007031	anterior neural rod	ZDB-STAGE-010723-5	ZDB-STAGE-020626-1
ZFA:0007038	anterior neural tube	ZDB-STAGE-020626-1	ZDB-STAGE-010723-10
ZFA:0001369	anterior pancreatic bud	ZDB-STAGE-010723-13	ZDB-STAGE-010723-26
ZFA:0005917	anterior-posterior polarized neuromast	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0005920	anterior-posterior polarized posterior lateral line neuromast	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0007014	anterior presumptive neural plate	ZDB-STAGE-010723-2	ZDB-STAGE-010723-18
ZFA:0001432	anterior sclerotic bone	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005566	anterior segment eye	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000314	anterior semicircular canal	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0005337	anterior swim bladder bud	ZDB-STAGE-010723-26	ZDB-STAGE-010723-48
ZFA:0005655	anterior ventromedial process of autopalatine	ZDB-STAGE-010723-51	ZDB-STAGE-010723-39
ZFA:0005683	anteromedial  zone olfactory bulb	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005004	aortic arch	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0005005	aortic arch 1	ZDB-STAGE-010723-10	ZDB-STAGE-050211-1
ZFA:0005006	aortic arch 2	ZDB-STAGE-010723-10	ZDB-STAGE-010723-26
ZFA:0005007	aortic arch 3	ZDB-STAGE-010723-9	ZDB-STAGE-010723-39
ZFA:0005008	aortic arch 4	ZDB-STAGE-010723-9	ZDB-STAGE-010723-39
ZFA:0005009	aortic arch 5	ZDB-STAGE-010723-26	ZDB-STAGE-010723-39
ZFA:0005016	aortic arch 6	ZDB-STAGE-010723-26	ZDB-STAGE-050211-1
ZFA:0001702	apical ectodermal ridge	ZDB-STAGE-010723-32	ZDB-STAGE-050211-1
ZFA:0000090	apical ectodermal ridge dorsal fin	ZDB-STAGE-010723-32	ZDB-STAGE-010723-8
ZFA:0000717	apical ectodermal ridge median fin fold	ZDB-STAGE-010723-32	ZDB-STAGE-010723-36
ZFA:0000085	apical ectodermal ridge pectoral fin bud	ZDB-STAGE-010723-32	ZDB-STAGE-010723-31
ZFA:0001450	apical ectodermal ridge pelvic fin	ZDB-STAGE-010723-51	ZDB-STAGE-050211-1
ZFA:0001385	apical ectodermal ridge pelvic fin bud	ZDB-STAGE-010723-48	ZDB-STAGE-050211-1
ZFA:0005148	apical epidermal cap	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005652	aponeurosis	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005564	aqueous humor	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005146	area postrema	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005914	argentum	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0005275	arrector muscle	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005255	arteriole	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000005	artery	ZDB-STAGE-010723-34	ZDB-STAGE-010723-39
ZFA:0001644	articular cartilage	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005442	articular fossa of opercle	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000315	asteriscus	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009075	astrocyte	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001614	atrial endocardium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005774	atrial epicardium	ZDB-STAGE-010723-35	ZDB-STAGE-010723-39
ZFA:0001374	atrial myocardium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001315	atrioventricular canal	ZDB-STAGE-010723-31	ZDB-STAGE-050211-1
ZFA:0001616	atrioventricular canal endocardium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005070	atrioventricular node	ZDB-STAGE-010723-8	ZDB-STAGE-010723-39
ZFA:0005073	atrioventricular ring	ZDB-STAGE-010723-31	ZDB-STAGE-010723-8
ZFA:0005064	atrioventricular valve	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000471	atrium	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0005460	atrium of sinus impar	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001493	atypical epithelium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001500	auditory capsule	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005244	auditory epithelial support cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005418	auditory fenestra	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005419	auditory foramen	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009121	auditory receptor cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001574	autonomic nervous system	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009059	autonomic neuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000620	autopalatine	ZDB-STAGE-010723-49	ZDB-STAGE-010723-39
ZFA:0005420	autopalatine-lateral ethmoid joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005421	autopalatine-maxillary joint	ZDB-STAGE-010723-48	ZDB-STAGE-010723-39
ZFA:0005656	autopalatine-preethmoid joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005422	autopalatine-vomer joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005295	axial blood vessel	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000091	axial chorda mesoderm	ZDB-STAGE-010723-18	ZDB-STAGE-010723-12
ZFA:0001123	axial fin skeleton	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0001378	axial hypoblast	ZDB-STAGE-010723-18	ZDB-STAGE-010723-12
ZFA:0005296	axial lymph vessel	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001204	axial mesoderm	ZDB-STAGE-010723-18	ZDB-STAGE-010723-10
ZFA:0001073	axial vasculature	ZDB-STAGE-010723-34	ZDB-STAGE-010723-39
ZFA:0000092	axis	ZDB-STAGE-010723-6	ZDB-STAGE-010723-5
ZFA:0000006	ball	ZDB-STAGE-020626-1	ZDB-STAGE-010723-35
ZFA:0009254	band form neutrophil	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000622	barbel	ZDB-STAGE-010723-52	ZDB-STAGE-010723-39
ZFA:0005119	barbel primordium	ZDB-STAGE-010723-51	ZDB-STAGE-010723-52
ZFA:0009132	barrier cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009037	barrier epithelial cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005000	basal communicating artery	ZDB-STAGE-010723-13	ZDB-STAGE-050211-1
ZFA:0001485	basal lamina	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005796	basal layer breeding tubercle	ZDB-STAGE-010723-49	ZDB-STAGE-010723-39
ZFA:0001425	basal plate cartilage	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000761	basal plate midbrain region	ZDB-STAGE-020626-1	ZDB-STAGE-010723-10
ZFA:0005150	basal regeneration epithelium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000170	basibranchial	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001223	basibranchial 1	ZDB-STAGE-010723-48	ZDB-STAGE-010723-39
ZFA:0001224	basibranchial 2	ZDB-STAGE-010723-48	ZDB-STAGE-010723-39
ZFA:0001225	basibranchial 3	ZDB-STAGE-010723-48	ZDB-STAGE-010723-39
ZFA:0001226	basibranchial 4	ZDB-STAGE-010723-49	ZDB-STAGE-010723-39
ZFA:0005453	basicapsular fenestra	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001060	basidorsal	ZDB-STAGE-050211-1	ZDB-STAGE-010723-47
ZFA:0000316	basihyal bone	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001510	basihyal cartilage	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005002	basilar artery	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0000472	basioccipital	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005423	basioccipital-exoccipital joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001598	basioccipital posterodorsal region	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005613	basioccipital-prootic joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000623	basipterygium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001539	basipterygium cartilage	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001361	basiventral	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009068	basket cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005236	basophilic erythroblast	ZDB-STAGE-010723-32	ZDB-STAGE-010723-39
ZFA:0009142	B cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009282	Bergmann glial cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005231	bifurcate interneuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005857	bile	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005163	bile canaliculus	ZDB-STAGE-010723-8	ZDB-STAGE-010723-39
ZFA:0005164	bile ductule	ZDB-STAGE-010723-8	ZDB-STAGE-010723-39
ZFA:0009212	biogenic amine secreting cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009055	bipolar neuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001270	blastema	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009178	blastemal cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001176	blastoderm	ZDB-STAGE-010723-17	ZDB-STAGE-010723-12
ZFA:0009177	blastoderm cell	ZDB-STAGE-010723-17	ZDB-STAGE-010723-12
ZFA:0001175	blastodisc	ZDB-STAGE-010723-4	ZDB-STAGE-010723-19
ZFA:0000093	blastomere	ZDB-STAGE-010723-4	ZDB-STAGE-010723-19
ZFA:0000007	blood	ZDB-STAGE-010723-34	ZDB-STAGE-010723-39
ZFA:0009044	blood cell	ZDB-STAGE-010723-34	ZDB-STAGE-010723-39
ZFA:0000094	blood island	ZDB-STAGE-010723-34	ZDB-STAGE-010723-10
ZFA:0005654	blood plasma	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0007072	blood sinus	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0007073	blood sinus cavity	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001079	blood vasculature	ZDB-STAGE-010723-16	ZDB-STAGE-010723-39
ZFA:0005314	blood vessel	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009036	blood vessel endothelial cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005257	blood vessel endothelium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009222	blue sensitive photoreceptor cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001514	bone element	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005621	bone tissue	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005532	bony plate	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001637	bony projection	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005531	bony shelf above orbit	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001684	Bowman's layer	ZDB-STAGE-010723-47	ZDB-STAGE-010723-39
ZFA:0000000	Brachet's cleft	ZDB-STAGE-010723-18	ZDB-STAGE-010723-5
ZFA:0000008	brain	ZDB-STAGE-020626-1	ZDB-STAGE-010723-39
ZFA:0005575	brain nucleus	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001707	brainstem	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000318	brainstem and spinal white matter	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000099	brain vasculature	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0005535	branched anal fin ray	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005533	branched caudal fin ray	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005534	branched dorsal fin ray	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000463	branchial adductor	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001650	branchial mesenchyme	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000172	branchial muscle	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005731	branchiomotor neuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000319	branchiostegal membrane	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000476	branchiostegal ray	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001279	branchiostegal ray 1	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001281	branchiostegal ray 2	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001280	branchiostegal ray 3	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005791	breeding tubercle	ZDB-STAGE-010723-49	ZDB-STAGE-010723-39
ZFA:0005562	Bruch's membrane	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009143	brush border epithelial cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000626	bulbo-spinal tract	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000173	bulbus arteriosus	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0005068	bulbus arteriosus inner layer	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005067	bulbus arteriosus middle layer	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005066	bulbus arteriosus outer layer	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005218	CaD	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009300	Cajal-Retzius cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009206	calcitonin secreting cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005250	capillary	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005590	capillary loop nephron	ZDB-STAGE-010723-47	ZDB-STAGE-010723-39
ZFA:0009243	CaP motoneuron	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005063	cardiac conduction system	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001318	cardiac jelly	ZDB-STAGE-010723-34	ZDB-STAGE-050211-1
ZFA:0009259	cardiac mesenchymal cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005280	cardiac muscle	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009316	cardiac muscle cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009234	cardiac muscle myoblast	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001648	cardiac neural crest	ZDB-STAGE-050211-1	ZDB-STAGE-010723-10
ZFA:0000009	cardiac ventricle	ZDB-STAGE-010723-31	ZDB-STAGE-010723-39
ZFA:0000096	cardinal system	ZDB-STAGE-010723-16	ZDB-STAGE-010723-39
ZFA:0000010	cardiovascular system	ZDB-STAGE-010723-5	ZDB-STAGE-010723-39
ZFA:0000097	carotid artery	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0005890	carotid artery canal	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001501	cartilage element	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005622	cartilage tissue	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005155	cartilaginous joint	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005903	cartilaginous projection	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000011	caudal artery	ZDB-STAGE-010723-34	ZDB-STAGE-010723-39
ZFA:0000320	caudal commissure	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0001051	caudal division of the internal carotid artery	ZDB-STAGE-010723-10	ZDB-STAGE-050211-1
ZFA:0001058	caudal fin	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0005424	caudal fin actinotrichium	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
